broker_comm,broker_comm_man,broker_id,broker_man_net_price,broker_net,cc_account_number,cc_facilitation_name,client_comm,client_comm_bps,client_comm_man,client_net,client_net_price,executed_time,gross_consideration,gross_price,number_of_shares,operation,order id,order_terms,Security Country Code of Issue,settlement_currency,settlement_date,stock_name,ticket_code,trade_currency,Trade Date,is_short_sell,Clearing Bank Number,Settlement FX Rate,ISIN Code,comm_type,Sedol,Mark Up,Sales Commission,Exchange Fee,Transaction Levy,Stamp Duty,Original Order Quantity,Order Quantity,Book Name,User Name,Is Option Security,Security ID,Option OCC Symbol,OPRA Symbol,Option Strike Price,Option Expiration Date,Option Open Close Indicator,Option Put Call Indicator,Primary MIC,Firm LEI,Give Up Broker Id,BloombergSymbol,Number of Fills
188.992635,,TBXA,,757206.5518,5A08977702,,,,,,,4:01:55,755970.54,58.15158,13000,B,6967495819 HK,,HK,HKD,20230419,SWIRE PACIFIC,19 HK,HKD,20230417,N,,,HK0019000162,,6867748,,,64.2575,982.7617,,,,Asia,,N,,,,,,,,XHKG,,,19 HK,5
49.873995,,GSCO,,497999.3212,5A08977702,,,,,,,2:51:07,498739.95,9.235925,54000,S,68711453200 HK,,HK,HKD,20230313,MELCO INTL DEV,200 HK,HKD,20230309,N,,,HK0200030994,,B092QP3,,,42.3929,648.3619,,,,Asia,,N,,,,,,,,XHKG,,,200 HK,36
0,,CHLC,,4676514.045,5A08977702,,,,,,,4:07:10,4683000,78.05,60000,SS,663013242015 HK,,HK,HKD,20221202,LI AUTO INC,2015 HK,HKD,20221130,Y,,,KYG5479M1050,,BMW5M00,,,398.055,6087.9,,,,Asia,,N,,,,,,,,XHKG,,,2015 HK,1
350.759997,,GSCO,,3502391.184,5A08977702,,,,,,,4:09:13,3507599.97,100.217142,35000,SS,696749052015 HK,,HK,HKD,20230419,LI AUTO INC,2015 HK,HKD,20230417,Y,,,KYG5479M1050,,BMW5M00,,,298.146,4559.88,,,,Asia,,N,,,,,,,,XHKG,,,2015 HK,33
76.336,,GSCO,,762226.4104,5A08977702,,,,,,,4:09:13,763360,1.04,734000,S,696749542233 HK,,HK,HKD,20230419,WEST CHINA CEMENT,2233 HK,HKD,20230417,N,,,JE00B3MW7P88,,B4N6NB4,,,64.8856,992.368,,,,Asia,,N,,,,,,,,XHKG,,,2233 HK,22
118.91,,GSCO,,1187334.187,5A08977702,,,,,,,3:38:49,1189100,54.05,22000,S,696746662318 HK,,HK,HKD,20230419,PING AN INSURANCE,2318 HK,HKD,20230417,N,,,CNE1000003X6,,B01FLR7,,,101.0735,1545.83,,,,Asia,,N,,,,,,,,XHKG,,,2318 HK,12
1236.867,,MIZU,,16490323.13,5A08977702,,,,,,,0:56:19,16491560,2576.80625,6400,S,679709094921 JT,,JP,JPY,20230207,FANCL CORP,4921 JT,JPY,20230203,N,,,JP3802670004,,6131261,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,4921 JT,19
1428.172,,GSCO,,14302928.35,5A08977702,,,,,,,2:59:34,14281720,57.12688,250000,B,696744745 HK,,HK,HKD,20230419,HSBC HOLDINGS PLC,5 HK,HKD,20230417,N,,,GB0005405286,,6158163,,,1213.9462,18566.236,,,,Asia,,N,,,,,,,,XHKG,,,5 HK,346
155.489499,,GSCO,,1552585.978,5A08977702,,,,,,,3:59:00,1554894.998,159.47641,9750,SS,696748166160 HK,,HK,HKD,20230419,BEIGENE LTD,6160 HK,HKD,20230417,Y,,,KYG1146Y1017,,BGDY260,,,132.1661,2021.3635,,,,Asia,,N,,,,,,,,XHKG,,,6160 HK,84
0,,CHLC,,37131399.84,5A08977702,,,,,,,22:04:14,37131399.84,7735.7083,4800,B,604622476201 JT,,JP,JPY,20220316,TOYOTA INDUSTRIES,6201 JT,JPY,20220314,N,,,JP3634600005,,6900546,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,6201 JT,1
2815.2,,MIZU,,37533184.8,5A08977702,,,,,,,22:05:10,37536000,7820,4800,S,604622576201 JT,,JP,JPY,20220316,TOYOTA INDUSTRIES,6201 JT,JPY,20220314,N,,,JP3634600005,,6900546,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,6201 JT,5
6607.5,,MIZU,,88093392.5,5A08977702,,,,,,,23:30:00,88100000,4405,20000,S,692667936502 JT,,JP,JPY,20230331,TOSHIBA CORP,6502 JT,JPY,20230329,N,,,JP3592200004,,6897217,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,6502 JT,7
16.6425,,MIZU,,221916.6425,5A08977702,,,,,,,22:23:45,221900,1109.5,200,B,689019717182 JT,,JP,JPY,20230320,JAPAN POST BANK CO,7182 JT,JPY,20230316,N,,,JP3946750001,,BYT8165,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,7182 JT,1
0,,CHLC,,37977737.1,5A08977702,,,,,,,22:04:45,37977737.1,1908.429,19900,SS,604622517203 JT,,JP,JPY,20220316,TOYOTA MOTOR CORP,7203 JT,JPY,20220314,Y,,,JP3633400001,,6900643,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,7203 JT,1
2864.1075,,MIZU,,38190964.11,5A08977702,,,,,,,22:02:09,38188100,1919,19900,B,604622147203 JT,,JP,JPY,20220316,TOYOTA MOTOR CORP,7203 JT,JPY,20220314,N,,,JP3633400001,,6900643,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,7203 JT,28
44428.725,,MIZU,,592427428.7,5A08977702,,,,,,,19:00:03,592383000,6190,95700,B,683866888096 JT,,JP,JPY,20230228,KANEMATSU ELECTRON,8096 JT,JPY,20230224,N,,,JP3217200009,,6484136,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,8096 JT,2
189.203,,TBXA,,755574.6124,5A08977702,,,,,,,4:02:19,756812,9.46015,80000,S,6967495587 HK,,HK,HKD,20230419,SWIRE PACIFIC,87 HK,HKD,20230417,N,,,HK0087000532,,6867760,,,64.329,983.8556,,,,Asia,,N,,,,,,,,XHKG,,,87 HK,10
2869.691249,,MIZU,,38265419.69,5A08977702,,,,,,,22:39:08,38262550,6596.991379,5800,B,603333879020 JT,,JP,JPY,20220310,EAST JAPAN RAILWAY,9020 JT,JPY,20220308,N,,,JP3783600004,,6298542,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,9020 JT,52
2894.174999,,MIZU,,38586105.82,5A08977702,,,,,,,22:39:04,38588999.99,4705.975609,8200,S,603333819021 JT,,JP,JPY,20220310,WEST JAPAN RAILWAY,9021 JT,JPY,20220308,N,,,JP3659000008,,6957995,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,9021 JT,66
86871.72999,,CSAEA,,868630428.2,5A08977702,,,,,,,21:28:40,868717299.9,8891.681678,97700,S,658683159086.XTKS,,JP,JPY,20221115,HITACHI TRANSPORT,9086.XTKS,JPY,20221111,N,,,JP3791200003,,6429234,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,9086,171
735.1705,,GSCO,,7340787.718,5A08977702,,,,,,,3:56:40,7351705,147.0341,50000,SS,696747959618 HK,,HK,HKD,20230419,JD.COM INC,9618 HK,HKD,20230417,Y,,,KYG8208B1014,,BKPQZT6,,,624.8949,9557.2165,,,,Asia,,N,,,,,,,,XHKG,,,9618 HK,283
0,,CHLC,,2016203.685,5A08977702,,,,,,,4:06:57,2019000,33.65,60000,SS,663013209868 HK,,HK,HKD,20221202,XPENG INC,9868 HK,HKD,20221130,Y,,,KYG982AW1003,,BP6FB33,,,171.615,2624.7,,,,Asia,,N,,,,,,,,XHKG,,,9868 HK,1
0.7075,,GSCO,,7064.4936,5A08977702,,,,,,,20:30:09,7075,141.5,50,SS,685302659888 HK,,HK,HKD,20230306,BAIDU INC,9888 HK,HKD,20230302,Y,,,KYG070341048,,B0J2D41,,,0.6014,9.1975,,,,Asia,,N,,,,,,,,XHKG,,,9888 HK,1
282.437,,GSCO,,2820175.811,5A08977702,,,,,,,3:36:51,2824370,282.437,10000,SS,696746449961 HK,,HK,HKD,20230419,TRIP COM GROUP LTD,9961 HK,HKD,20230417,Y,,,KYG9066F1019,,BNYK8H9,,,240.0715,3671.681,,,,Asia,,N,,,,,,,,XHKG,,,9961 HK,109
452.351496,,GSCO,,4516797.54,5A08977702,,,,,,,3:55:49,4523514.96,94.239895,48000,SS,696747889988 HK,,HK,HKD,20230419,ALIBABA GROUP HLDG,9988 HK,HKD,20230417,Y,,,KYG017191142,,BK6YZP5,,,384.4988,5880.5694,,,,Asia,,N,,,,,,,,XHKG,,,9988 HK,135
10.418958,,INST,,189425.181,5A08977702,,,,,,,11:15:20,189435.6,7.577424,25000,S,68590297ALLFG NA,,NL,EUR,20230307,ALLFUNDS GROUP,ALLFG NA,EUR,20230303,N,,,GB00BNTJ3546,,BNTJ354,,,0,0,,,,Europe,,N,,,,,,,,XAMS,,,ALLFG NA,14
11.39875,,INST,,207261.3988,5A08977702,,,,,,,10:33:37,207250,8.29,25000,B,68477910ALLFG NA,,NL,EUR,20230302,ALLFUNDS GROUP,ALLFG NA,EUR,20230228,N,,,GB00BNTJ3546,,BNTJ354,,,0,0,,,,Europe,,N,,,,,,,,XAMS,,,ALLFG NA,30
0,,CHLC,,72090.3,5A08977702,,,,,,,9:16:43,72090.3,351.66,205,S,66025949ARGX AV,,AT,EUR,20221121,ARGENX SE,ARGX AV,EUR,20221117,N,,,NL0010832176,,BMGWJV7,,,0,0,,,,Europe,,N,,,,,,,,WBDM,,,ARGX AV,1
123.97,,INST,,1771123.97,5A08977702,,,,,,,9:18:55,1771000,32.2,55000,B,66717960ARL0 GY,,DE,EUR,20221216,AAREAL BANK AG,ARL0 GY,EUR,20221214,N,,,DE000A30U9F9,,BLFKWD8,,,0,0,,,,Europe,,N,,,,,,,,XETA,,,ARL0 GY,5
68.918562,,CSAEA,,459525.9986,5A08977702,,,,,,,0:10:47,459457.08,45.945708,10000,B,68392786BHP AT,,AU,AUD,20230228,BHP GROUP LTD,BHP AT,AUD,20230224,N,,,AU000000BHP4,,6144690,,,0,0,,,,Asia,,N,,,,,,,,XASX,,,BHP AT,132
189.697312,,GSCO,,1897162.817,5A08977702,,,,,,,21:40:55,1896973.12,47.424328,40000,B,68389281BHP AT,,AU,AUD,20230120,BHP GROUP LTD,BHP AT,AUD,20230118,N,,,AU000000BHP4,,6144690,,,0,0,,,,Asia,,N,,,,,,,,XASX,,,BHP AT,155
0,,INST,,33314.7,5A08977702,,,,,,,6:02:19,33314.7,133.2588,250,S,69675519BIDU,,US,USD,20230419,BAIDU INC,BIDU,USD,20230417,N,,,US0567521085,,B0FXT17,,,0,0,,,,Europe,,N,,,,,,,,NASDAQ,,,BIDU US,5
0,,CHLC,,409215.73,HCU8977700,,,,,,,11:21:51,409215.73,55.942,7315,S,69684585BKI,,US,USD,20230419,BLACK KNIGHT INC,BKI,USD,20230417,N,,,US09215C1053,,BDG75V1,,,0,0,,,,USA,,N,,,,,,,,NYSE,,,BKI US,2
0,,PAIR,,409215.9933,HCU8977700,,,,,,,11:15:17,409215.9933,55.942036,7315,S,69684272BKI,,US,USD,20230419,BLACK KNIGHT INC,BKI,USD,20230417,N,,,US09215C1053,,BDG75V1,,,0,0,,,,USA,,N,,,,,,,,NYSE,,,BKI US,146
150.9363,,ORDS,,302023.5363,5A08977702,,,,,,,1:40:38,301872.6,0.503121,600000,B,69673860BRB AT,,AU,AUD,20230419,BREAKER RESOURCES,BRB AT,AUD,20230417,N,,,AU000000BRB3,,B6R29X6,,,0,0,,,,Asia,,N,,,,,,,,XASX,,,BRB AT,62
16.019406,,GSCO,,160178.0406,5A08977702,,,,,,,23:46:47,160194.06,0.585,273836,S,67423165BTH AT,,AU,AUD,20230120,BIGTINCAN HOLDINGS,BTH AT,AUD,20230118,N,,,AU000000BTH6,,BDZX3L6,,,0,0,,,,Asia,,N,,,,,,,,XASX,,,BTH AT,39
0,,MSET,,113265.07,5A08977702,,,,,,,11:28:40,113265.07,9.583304,11819,B,69685211CCL,,US,USD,20230419,CARNIVAL CORP,CCL,USD,20230417,N,,,PA1436583006,,2523044,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,CCL US,130
5.025315,,MSET,,91364.35068,5A08977702,,,,,,,11:28:40,91369.37599,6.93927,13167,S,69685336CCL LN,,GB,GBP,20230419,CARNIVAL PLC,CCL LN,GBP,20230417,N,,,GB0031215220,,3121522,,,0,0,,,,Europe,,N,,,,,,,,XLON,,,CCL LN,121
1114.330727,,MSET,,13930248.43,5A08977702,,,,,,,10:54:19,13929134.1,511.667858,27223,B,69195879CHR DC,,DK,DKK,20230327,CHR. HANSEN HLDG,CHR DC,DKK,20230323,N,,,DK0060227585,,B573M11,,,0,0,,,,Europe,,N,,,,,,,,XCSE,,,CHR DC,1649
31.45527,,INST,,571945.4553,5A08977702,,,,,,,9:50:56,571914,37.38,15300,B,69678629DPH LN,,GB,GBP,20230419,DECHRA PHARMA,DPH LN,GBP,20230417,N,,,GB0009633180,,963318,,,0,0,,,,Europe,,N,,,,,,,,XLON,,,DPH LN,18
643.94181,,FNZC,,1287239.678,5A08977702,,,,,,,22:59:55,1287883.62,44.37,29026,S,68465511EBO NZ,,NZ,NZD,20230302,EBOS GROUP LIMITED,EBO NZ,NZD,20230228,N,,,NZEBOE0001S6,,6160038,,,0,0,,,,Asia,,N,,,,,,,,XNZE,,,EBO NZ,4
0,,CHLC,,1543675,5A08977702,,,,,,,7:02:23,1543675,308.735,5000,S,69675875EQNR NO,,NO,NOK,20230419,EQUINOR ASA,EQNR NO,NOK,20230417,N,,,NO0010096985,,7133608,,,0,0,,,,Europe,,N,,,,,,,,XOSL,,,EQNR NO,1
170.090354,,BAML,,1546105.86,5A08977702,,,,,,,6:59:39,1546275.95,309.25519,5000,S,69675859EQNR NO,,NO,NOK,20230419,EQUINOR ASA,EQNR NO,NOK,20230417,N,,,NO0010096985,,7133608,,,0,0,,,,Europe,,N,,,,,,,,XOSL,,,EQNR NO,447
0,,CHLC,,157000.5128,5A08977702,,,,,,,8:47:31,157000.5128,18.300561,8579,B,66949675EURN BB,,BE,EUR,20221207,EURONAV,EURN BB,EUR,20221205,N,,,BE0003816338,,B04M8J6,,,0,0,,,,Europe,,N,,,,,,,,XBRU,,,EURN BB,3
80.969995,,MSET,,1012205.91,5A08977702,,,,,,,8:09:02,1012124.94,18.606606,54396,B,66661360EURN BB,,BE,EUR,20221207,EURONAV,EURN BB,EUR,20221205,N,,,BE0003816338,,B04M8J6,,,0,0,,,,Europe,,N,,,,,,,,XBRU,,,EURN BB,443
0,,MSCO,,119352,HCU8977700,,,,,,,15:45:08,119352,18.64875,6400,S,69692265FHN,,US,USD,20230419,FIRST HORIZON CORP,FHN,USD,20230417,N,,,US3205171057,,2341484,,,0,0,,,,USA,,N,,,,,,,,NYSE,,,FHN US,45
0,,CHLC,,599082.6177,5A08977702,,,,,,,8:47:59,599082.6177,125.5149,4773,SS,66949677FROT NO,,NO,NOK,20221227,FRONTLINE LTD,FROT NO,NOK,20221222,Y,,,BMG3682E1921,,BDDJSX3,,,0,0,,,,Europe,,N,,,,,,,,XOSL,,,FROT NO,1
816.513403,,MSET,,10205601.03,5A08977702,,,,,,,8:09:02,10206417.54,140.778173,72500,S,66661357FROT NO,,NO,NOK,20221215,FRONTLINE LTD,FROT NO,NOK,20221213,N,,,BMG3682E1921,,BDDJSX3,,,0,0,,,,Europe,,N,,,,,,,,XOSL,,,FROT NO,331
0,,CHLC,,5880,5A08977702,,,,,,,11:39:37,5880,8,735,S,69685464GAID LI,,GB,USD,20230419,GAIL INDIA LTD,GAID LI,USD,20230417,N,,,US36268T2069,,3235520,,,0,0,,,,Europe,,N,,,,,,,,XLOM,,,GAID LI,1
0.3234,,INST,,5879.6766,5A08977702,,,,,,,11:28:07,5880,8,735,S,69684817GAID LI,,GB,USD,20230419,GAIL INDIA LTD,GAID LI,USD,20230417,N,,,US36268T2069,,3235520,,,0,0,,,,Europe,,N,,,,,,,,XLOM,,,GAID LI,2
0,,CHLC,,203095.6,5A08977702,,,,,,,9:42:57,203095.6,2.9867,68000,B,69678087GRAB,,US,USD,20230419,GRAB HLDGS LTD,GRAB,USD,20230417,N,,,KYG4124C1096,,BP6NH40,,,0,0,,,,Europe,,N,,,,,,,,NASDAQ,,,GRAB US,1
0,,INST,,202926.144,5A08977702,,,,,,,9:38:21,202926.144,2.984208,68000,B,69677601GRAB,,US,USD,20230419,GRAB HLDGS LTD,GRAB,USD,20230417,N,,,KYG4124C1096,,BP6NH40,,,0,0,,,,Europe,,N,,,,,,,,NASDAQ,,,GRAB US,101
0,,CHLC,,990358.7,5A08977702,,,,,,,13:52:31,990358.7,68.3006,14500,SS,69688414HDB,,US,USD,20230419,HDFC BANK,HDB,USD,20230417,Y,,,US40415F1012,,2781648,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,HDB US,1
0,,INST,,990416.3665,5A08977702,,,,,,,13:29:12,990416.3665,68.304577,14500,S,69688191HDB,,US,USD,20230419,HDFC BANK,HDB,USD,20230417,N,,,US40415F1012,,2781648,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,HDB US,213
0,,CHLC,,2303200,5A08977702,,,,,,,11:51:03,2303200,5.758,400000,S,69652365HSBA LN,,GB,GBP,20230417,HSBC HOLDINGS PLC,HSBA LN,GBP,20230413,N,,,GB0005405286,,540528,,,0,0,,,,Europe,,N,,,,,,,,XLON,,,HSBA LN,2
0,,CHLC,,20,5A08977702,,,,,,,5:28:27,20,20,1,B,68397963HTSC LI,,GB,USD,20230228,HUATAI SECURITIES,HTSC LI,USD,20230224,N,,,US44331T1043,,BGR9NW4,,,0,0,,,,Europe,,N,,,,,,,,XLON,,,HTSC LI,1
0,,CHLC,,1106500,5A08977702,,,,,,,15:58:50,1106500,22.13,50000,S,69694994IBN,,US,USD,20230419,ICICI BANK,IBN,USD,20230417,N,,,US45104G1040,,2569286,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,IBN US,2
0,,INST,,1106500,5A08977702,,,,,,,15:53:28,1106500,22.13,50000,S,69693573IBN,,US,USD,20230419,ICICI BANK,IBN,USD,20230417,N,,,US45104G1040,,2569286,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,IBN US,44
0,,CHLC,,53488.4587,HCU8977700,,,,,,,11:22:39,53488.4587,107.1913,499,B,69684614ICE,,US,USD,20230419,INTERCONT EXCHANGE,ICE,USD,20230417,N,,,US45866F1049,,BFSSDS9,,,0,0,,,,USA,,N,,,,,,,,NYSE,,,ICE US,2
0,,PAIR,,53488.45471,HCU8977700,,,,,,,11:15:17,53488.45471,107.191292,499,B,69684273ICE,,US,USD,20230419,INTERCONT EXCHANGE,ICE,USD,20230417,N,,,US45866F1049,,BFSSDS9,,,0,0,,,,USA,,N,,,,,,,,NYSE,,,ICE US,82
0,,CHLC,,8020161.6,5A08977702,,,,,,,16:02:20,8020161.6,15.1897,528000,B,69695445INFY,,US,USD,20230419,INFOSYS LTD,INFY,USD,20230417,N,,,US4567881085,,2398822,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,INFY US,1
0,,INST,,8018846.88,5A08977702,,,,,,,16:00:22,8018846.88,15.18721,528000,B,69695427INFY,,US,USD,20230419,INFOSYS LTD,INFY,USD,20230417,N,,,US4567881085,,2398822,,,0,0,,,,Europe,,N,,,,,,,,NYSE,,,INFY US,2642
0,,MSCO,,889153.07,HCU8977700,,,,,,,11:34:20,889153.07,177.830614,5000,SS,69685055IWM,,US,USD,20230419,ISHARES TRUST,IWM,USD,20230417,Y,,,US4642876555,,2622059,,,0,0,,,,USA,,N,,,,,,,,PSE,,,IWM US,24
0,,GSDMA-US,,319566,5A08977702,,,,,,,6:25:41,319566,63.9132,5000,B,67678983JD,,US,USD,20230131,JD.COM INC,JD,USD,20230127,N,,,US47215P1066,,BMM27D9,,,0,0,,,,Asia,,N,,,,,,,,NASDAQ,,,JD US,36
